Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P20,ECO,winter_2024,4th year,NA,Ecological management and restoration,"English: advanced, Spanish: beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat do NOT understand,Somewhat agree,Strongly agree,No,NA,NA,More confident about my writing,Strongly agree,,,I haven’t used it before but seem like it would be helpful for revising papers,Some professors do not allow chat gbt and I have always gotten negative reviews on it.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P200,ECO,winter_2024,Other,graduate student,ecology,English: advanced; Spanish: beginner,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Understand very well,Somewhat disagree,Strongly agree,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,NA,plagiarism--these tools are built on stolen written work from other people,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P201,HSW,winter_2024,5th year,NA,Global Disease Biology,"English: Advanced, Korean: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I would mainly use it to revise my paper for grammatical errors and to see if it lacks clarity.,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,Less confident about my writing,Somewhat agree,,,"Grammar and spelling corrections, cost-effective, and instant feedback.","Inconsistent, unreliable in some occasions, and plagiarism",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P202,ADV,winter_2024,4th year,NA,Computer Science,"English: advanced, Cantonese: beginner, Mandarin: beginner",Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Writing (ask AI to write paragraphs)",NA,I used ChatGPT to assist in my writing process because it seemed like the fastest way to get feedback on topics I was either just interested in or had started working on.,Somewhat understand,Strongly agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,The speed that you can get a response and the broad range of information you can get.,Inaccuracies based in bias from the model’s training and possible plagarism.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P203,HSW,winter_2024,4th year,NA,"Neurobiology, Physiology and Behavior","English: advanced, Marathi: advanced, Hindi: advanced, Tamil: intermediate, Telugu: beginner, French: beginner, Korean: beginner",No,13,,,,,,Yes,3 = neither frequently nor infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"I use it to check my flow of writing and grammar. When I have a writer's block, I also brainstorm to get new ideas that I can build on.",Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,No impact on confidence,Strongly agree,,,Some benefits are it can provide multi-faceted feedback and there's the option to follow-up to see why AI is giving certain suggestion.,Some concerns are I am not sure to what extent I can incorporate AI's feedback on my writing and it does not adequate feedback on loop-holes in content.,4th year,NA,"Neurobiology, Physiology and Behavior","Marathi:advanced. Hindi:advanced, Tamil:intermediate, Korean:beginner, French:intermediate, English:advanced",No,13 years old,,,Other,"Not a first-gen college student, but first-gen in the US",Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P204,ENV,winter_2024,1st year,NA,Systems and Synthetic Biology,"English- Advanced, Bengali- Intermediate, Hindi- Beginner",No,18,,,,,,Yes,2 = infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use ChatGPT to check my grammar.,Somewhat understand,Somewhat agree,Somewhat agree,No,NA,NA,More confident about my writing,Strongly agree,,,"Using AI for feedback can help in multiple ways. It would not only give immediate response but also correct grammatical mistakes. In some cases, it would help you make your writing more formal.","AI may not give the response or feedback you would like, or sometimes the feedback received would not be helpful.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P205,ENV,winter_2024,1st year,NA,Molecular and Medical Microbiology,"english: advanced, telugu: advanced, hindi: intermediate, tamil: beginner",Yes,NA,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,it streamlines the process of editing so i don’t have to do it in multiple websites.,Understand very well,Strongly agree,Strongly disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Strongly agree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P206,ADV,winter_2024,3rd year,NA,Biological Sciences,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Strongly agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Somewhat agree,,,Can help people who might avoid having their paper reviewed for fear of judgement. <ay also be able to find mistakes that people might just gloss over.,What if you follow the advise given and then get accused of plagiarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P207,ECO,winter_2024,3rd year,NA,"Environmental science and management major, watershed science minor",English- advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat disagree,Somewhat agree,Yes,NA,NA,More confident about my writing,Strongly agree,,,"I don't like to use Chat GPT for writing because I like to come up with my own ideas. It can offer another perspective to get feedback from though, which might be helpful.","Chat GPT is trained on a lot of stolen writing so I don't like to use it. I also don't think it's that advanced and often has a lot of grammatical mistakes so I don't think it would be helpful for spellcheck/editing. I think the feedback I could get from a professor or TA, someone who is an expert on the topic and knows the parameters of the class would be more helpful.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P208,ENV,winter_2024,4th year,NA,Pharmaceutical Chemistry,"English: advanced, Chinese: advanced",No,17,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,The professor asked us to use AI to revise our essays.,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Strongly agree,,,They can change the words more precisely.,Their answers may influence your thinkings.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P209,ADV,winter_2024,4th year,NA,NA,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,Using AI for feedback can help introduce new ideas to discuss or point out aspects of your writing assignment to expand upon.,"Disadvantages of using AI for feedback is of coure, the risk of plagiarism or a lack of originality due to strictly following the recommendations or feedback that AI offers.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P21,HSW,winter_2024,4th year,NA,Biochemistry and Molecular Biology,English: advanced,Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,"When I write, I usually have an idea but have no clue how to phrase it intelligently. So I put my idea down into the ChatGPT box in a simple way, and ask it to either revise or provide feedback on how to make it sound clearer.",Somewhat do NOT understand,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,I think the database will provide me with better vocabulary and clearer sentence structures.,I fear that I may not be able to make the feedback sound like my own writing voice.,4th year,NA,Biochemistry and Molecular Biology,English: advanced,Yes,NA,,,Yes,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P210,ENV,winter_2024,1st year,NA,Cell Biology,"English: advanced, Punjabi: beginner",Yes,NA,,,,,,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,Strongly disagree,,,"Advantages of using AI like ChatGPT for feedback is that it may allow you to get feedback immediately, while asking for a peer review or any other review may take some time.",A concern I have about using AI is that it may give feedback that may not apply or useless or even incorrect feedback that may worsen the quality of my writing.,1st year,NA,Cell Biology,"English - advances, Punjabi - beginner",Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,No impact on confidence,Peer feedback,NA,Strongly agree,Somewhat disagree
P211,HSW,winter_2024,4th year,NA,I'm a human biology major,"English: advanced, Mandarin: beginner",No,5,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use it to provide me some feedback to see how I can better structure my essays. I also ask for it to help to correct grammar at times but often I use a different website for that. I also ask it to revise to see what the Ai would've done and if there are any good ideas in what they've done I try to incorporate it into my own writing.,Neither understand nor do NOT understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,Unsure,Strongly agree,,,I like how it can tell me what ways I can strengthen my writing,the feedback an AI provides is still not equivalent to that of human feedback so I need to obtain the latter as well.,4th year,NA,Human Biology,English-advanced Mandarin: beginner,No,5 years old,,,No,NA,No,NA,Asian/Pacific Islander,,,No impact on confidence,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P212,ENV,winter_2024,1st year,NA,Environmental Toxicology,"Mandarin: advanced, English: intermediate",No,18,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",Coming up with ideas and points,NA,Neither understand nor do NOT understand,Neither agree nor disagree,Somewhat agree,No,NA,NA,No impact on confidence,Strongly agree,,,"AI may provide new perspectives and check grammar for people that is faster, easier, and more precise than human ratings.","People may just have direct copy from AI feedbacks and put them into their own essays that may leads to plagiarism, and AI feedbacks may lead to information loss.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P213,ADV,winter_2024,4th year,NA,Psychology BS,"Pashto, Urdu, Farsi, Dari, english and I am fluent in all of them",No,11,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I  just want to check my grammer and if I have missed any spelling and it corrects it for me,Neither understand nor do NOT understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Strongly agree,,,"the advantages could be checking grammer, revising and editing for you and also writing it longer or shorter based on your prefrences",the disadvantages could be that you don't use your own brain and not your ideas maybe plagirisim,4th year,NA,BS psychology,"Pashto, English, farsi, Hindi, Urdu : advanced in all",No,12,,,Yes,NA,Yes,NA,White/Caucasian,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P214,ENV,winter_2024,2nd year,NA,Math,"Chinese:advanced, English:intermediate",No,18,,,,,,Yes,3 = neither frequently nor infrequently,Feedback (ask AI to provide comments on your work),NA,The Ai program can suggest reasonable changes to the paper.,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,The Ai program can suggest reasonable changes to the paper.,"Sometimes the point of view given by an ai program is not what we want, it's a little silly or mechanized",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P215,ECO,winter_2024,4th year,NA,Ecological Management and Restoration/ Education,English/ advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither understand nor do NOT understand,Neither agree nor disagree,Somewhat agree,No,NA,NA,Less confident about my writing,Strongly agree,,,help with grammar and syntax.,Limitations in feedback about content,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P216,ENV,winter_2024,2nd year,NA,Molecular and Medical Microbiology,"English: advanced, Cantonese: intermediate, Mandarin: beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat do NOT understand,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"I think the biggest advantage of using AI, such as ChatGPT, for feedback is that it gives the writer even more feedback and at a much quicker rate compared to a person, such as a peer or TA. Moreover, the availability of ChatGPT can be helpful when needed quick feedback before a deadline.",I think one concern I have for using ChatGPT would be becoming too reliant on the technology and eventually depending on AI to ultimately contribute more to the writing assignment than I will be.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P217,HSW,winter_2024,4th year,NA,Major: Global Disease Biology; Minor: Technology Management,"English: advanced, Malayalam: Intermediate",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"I like to use AI primarily for revising emails I send out. A lot of my academic and professional responsibilities require extensive emailing which is why I like to have my emails read and revised for clarity.  When I write application essays, I also like to ask chat gpt ""how does this intro sound"", just so I have an idea of where I can make edits.",Neither understand nor do NOT understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",NA,No impact on confidence,Strongly disagree,,,I think it points out places where writing could be made more clear. It can also be a useful revision tool once you have finished writing.,"Sometimes, I feel like ChatGPT can overcomplicate words in its suggestions. =",4th year,NA,Global Disease Biology,"English: advanced, Malayalam: Intermediate",Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,Peer feedback,NA,Strongly agree,Somewhat disagree
P218,ECO,winter_2024,3rd year,NA,Evolution Ecology Biodiversity,english,Yes,NA,,,,,,NA,NA,I do not use AI Writing Tools,NA,NA,Somewhat do NOT understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,"grammar help, clarity checking",fail to develop skills on own,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P219,ECO,winter_2024,4th year,NA,Landscape Architecture,English: advanced Spanish: beginner,Yes,NA,,,,,,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Strengthening Argument",NA,Unsure,Strongly agree,,,N/A,N/A,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P22,ENV,winter_2024,1st year,NA,Animal Science,"English: advanced  , Spanish: advanced , French: beginner",Yes,NA,,,,,,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,More confident about my writing,Strongly agree,,,"I have never used ChatGPT, but maybe helps with citing sources correctly.",That I might be accused of plagarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P220,ECO,winter_2024,3rd year,NA,ESM,"English, advanced",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Revising (ask AI to revise your work),Other",outlines,Nice to have a second opinion,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,AI has access to an insane bank of knowledge and can provide another unique set of commentary,Sometimes AI will add in bits that might not necessarily be fact … one should always be critical,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P221,HSW,winter_2024,2nd year,NA,Biological Sciences,"Hindi: advanced, English: advanced",No,6,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,"I think there are lots of advantages since AI can provide better ways to create sentences, organize arguments, and improve vocabulary for writing.",The disadvantage is when the AI is giving wrong information without our knowledge and we are accepting it.,2nd year,NA,Biological Sciences,"English - advanced, Hindi - advanced",No,6,,,Yes,NA,No,NA,Asian/Pacific Islander,,,Less confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P222,ECO,winter_2024,4th year,NA,Environmental science,English: advanced,Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use it to help look for information quicker or help revise my writing more efficiently,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,instant feedback and the ability to potentially recognize more errors,might not be as accurate or may not improve writing in certain areas,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P223,ENV,winter_2024,3rd year,NA,ESM,"English: advanced, Spanish: advanced",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,"AI could help make your writing more concise, making it easier for others to understand.",One concern that I have about AI is that the feedback may not be helpful at all because its capabilities will be limited.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P224,ADV,winter_2024,4th year,NA,NPB,"Vietnamese: advanced, English: advanced",No,16,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I need help for those reasons to understand better my writing skill and correct my errors.,Understand very well,Neither agree nor disagree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Correct my grammar and spelling.,Rely on it too much.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P225,HSW,winter_2024,3rd year,NA,NA,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Strongly agree,,,The benefit of using ChatGPT for feedback in writing would be that it could offer the writer with help on revisions. It may help the writing add more clarity to their writing or help in the structure of the writing so that it is easier to read.,"The concern of using ChatGPT for feedback is that it is AI and does not really have any expectations. For instance, when a peer or professor provides feedback, they can refer to a rubric and pinpoint areas of strengths and weaknesses. However, ChatGPT may not be able to provide any information about whether or not an argument is strong enough or if the writing clearly meets all the requirements.",3rd year,NA,Human Biology,English: advanced,Yes,NA,,,Yes,NA,Yes,NA,African-American/Black,,,Less confident about my writing,Peer feedback,NA,Strongly agree,Strongly agree
P226,HSW,winter_2024,4th year,NA,NPB/Psychology,"English: Advanced, Hindi: Advanced, Marathi: Intermediate",No,8,,,,,,Yes,2 = infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use AI to find synonyms for words and to shorten long pieces of text.,Somewhat understand,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"I belive that using AI for feedback can be a great of gaining constant individualised feedback without having to orgnazie a peer group swap. Specifically, using ChatGPT can provide an easy other ""set of eyes"" for writers.","AI in particualr can often be factually incorrect and should not be blindly trusted for research purposes. Furthermore, in terms of gaining feedback since AI lacks a unique personality, following AI's advice cna make the writing seem bland and lack personal character.",4th year,NA,NPB,"English: advanced, Hindi: Intermediate, Marathi: Intermediate",No,8 years old,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P227,ENV,winter_2024,1st year,NA,Biological Sciences,English: advanced,Yes,NA,,,,,,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Understand very well,Somewhat agree,Somewhat agree,Yes,"Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,It can help you check for any grammar or punctuation mistakes and provide a template to begin writing.,Doesn't sound original and lacks pieces of evidence to support a claim/thesis.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P228,ENV,winter_2024,1st year,NA,mathematics,english:intermediate,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Somewhat agree,Strongly agree,No,NA,NA,Less confident about my writing,Strongly agree,,,can make your writing clearer and clear up any mistakes in your writing,possibly being accused of plagiarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P229,ENV,winter_2024,2nd year,NA,WFCB,Chinese & English advanced,No,18,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"I use AI for gramma check, sentences establishing, feedback checking etc. Because I am not a native speaker in English, so AI allows me to express my ideas in a more precise way.",Understand very well,Strongly agree,Somewhat agree,Yes,"Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,,,"Faster, repeatable, can be checked several times, and on-time feedback, use anytime as you want.","Systematic, sometimes only follows certain/stiff logic/words.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P23,ECO,winter_2024,4th year,NA,Environmental Science & Management,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither understand nor do NOT understand,Somewhat agree,Somewhat disagree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,,,"You get feedback right away, don't have to ask peers",may not be clear,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P230,ENV,winter_2024,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,1st year,NA,Pharmaceutical Chemistry,English: advanced,Yes,NA,,,Yes,NA,Yes,NA,White/Caucasian,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P231,ECO,winter_2024,3rd year,NA,ESM,English,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P232,FYW,winter_2024,2nd year,NA,Managerial Economics,Chinese and English?Beginner,No,16,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,For improving my writing skills,Neither understand nor do NOT understand,Somewhat agree,Strongly disagree,Yes,"Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,Less confident about my writing,Neither agree nor disagree,,,Some wrong or place i can change. Let me know which part of writing I need to improve.,N/A,2nd year,NA,Managerial Economics,Mandarin?advanced?English?beginner,Prefer not to answer,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,Less confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P233,ENV,winter_2024,2nd year,NA,Computer Science,"English: advanced, Korean: intermediate, Vietnamese: advanced",Yes,NA,,,,,,Yes,1 = never,Other,coding help,NA,Somewhat understand,Somewhat disagree,Strongly agree,No,NA,NA,Less confident about my writing,Strongly agree,,,#NAME?,"- ChatGPT is not well-versed in ""human"" language (slang, etc.), may misunderstand something that a human would not. - Can raise unnecessary doubts in one's writing, i.e. bringing up a ""mistake"" in writing that may not actually exist",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P234,ENV,winter_2024,1st year,NA,Environmental Science and Management,"English: advanced, Mandarin: beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Understand very well,Somewhat disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,It's good for rephrasing sentences that I think sounds wordy and not concise and cherry-picking specific words or a specific sentence structure that I want in my essay.,The AI is pretty bad at getting basic information right so I don't trust it to write a whole outline and whatnot.,1st year,NA,Environmental Science and Management,English: advanced,Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P235,ENV,winter_2024,3rd year,NA,Electrical engineering,"English: advanced, Mandarin: intermediate",Yes,NA,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Writing (ask AI to write paragraphs)",NA,It provides good proofreading and rewriting abilities,Understand very well,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Improving use of evidence,Strengthening Argument",NA,No impact on confidence,Somewhat agree,,,Saves a lot of time and is convenient to have constant revisions and feedback options,Chatgpt can be somewhat predictable when providing rewrites or it doesn't match my tone or style,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
