Participant_ID,Multilingualism,Language_immigration_background,age_arrival_US,MIGS,Course_pre,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,ethnicity_write_pre,confident_write_academic_paper_pre,confident_write_clearly_pre,good_grades_pre,generating_ideas_easy_pre,strategies_difficulties_pre,persistence_pre,task_on_time_pre,SE_pre,Used_AI_pre,Frequence_use_AI,Uses_of_AI,Uses_of_AI_write,Why_use_AI,Understand_limitations_pre,AI_Valuable_part_process_pre,AI_Plagiarism_pre,Drafts_pre,Focus_drafts_pre,Focus_drafts_write_pre,Feedback_feel_pre,Feedback_importance_pre,TA_feedback_clarity_helpful_pre,Peer_feedback_clarity_helpful_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Term_post,Time_post,Year_post,Year_write_post,Major_post,Course_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in_post,Language_write_in_other_post,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,ethnicity_write_post,confident_write_academic_paper_post,confident_write_clearly_post,good_grades_post,generating_ideas_easy_post,strategies_difficulties_post,persistence_post,task_on_time_post,SE_post,Drafts_post,Focus_drafts_post,Focus_drafts_write_post,Feedback_feel_post,Feedback_importance_post,TA_feedback_clarity_helpful_post,Peer_feedback_clarity_helpful_post,Uses_of_AI_course_post,Uses_of_AI_course_write_post,Why_use_AI_course_post,AI_helpful_open_ended_post,Continue_conversation_post,Continue_conversation_write_post,Frequency_AI_use_post,Understand_limitations_post,ChatGPT_feedback_useful_post,ChatGPT_feedback_accurate_post,ChatGPT_feedback_implement_post,ChatGPT_feedback_continue_post,AI_Valuable_part_process_post,AI_Plagiarism_post,peer_feedback_useful_post,peer_feedback_accurate_post,peer_feedback_implement_post,peer_feedback_continue_post,peer_Valuable_part_process_post,peer_Plagiarism_post,peer_motivate_revise_post,AI_motivate_revise_post,AI_and_peer_feedback_post,Preferred_feedback_post,Preferred_feedback_write_post,Advantages_AI_post,Disadvantages_AI_post
P557,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,4th year,NA,"Psychology major, Sociology minor.","English: advanced, Punjabi: intermediate.",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,1,2,2,2,1.85714286,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,2,1,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,2,2,Both AI and peer feedback,NA,"AI can be great for checking if you're on the right path with your writing, giving feedback on clarity and coherence for writing.","It can be too generative and there can be times when AI just generates whatever it wants, rather than factually correct or accurate information.",spring_24,post,4th year,NA,Psychology major/Sociology minor,PLS: Just Coffee,"English: advanced, Hindi: intermediate, Punjabi: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,1,1,2,2,1.71428571,No,NA,NA,Less confident about my writing,1,2,2,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,NA,"It was clear and helpful when need to be, got job done.",Yes,NA,,2,1,1,0,1,2,0,2,1,2,2,2,2,-2,-2,1,AI and peer feedback used together,NA,"It is helpful in the moment, it makes you think about something you hadn't before.","It can generate wrong or inaccurate information to your given prompt, can be scary. Definitely use with caution."
P558,multilingual,gen_1_5,childhood,other,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,Design,"English: advanced, Hindi: advanced",No,4,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,It simplifies the writing process for me.,2,2,2,No,NA,NA,More confident about my writing,2,1,-1,Other,Professor feedback,"Efficiency, Objective",Ethics,spring_24,post,3rd year,NA,Design,UWP 12: Writing & Visual Rhetoric,Hindi: fluent,No,4 years old,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,No,NA,NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,Revising my work,In-depth responses,Yes,NA,,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,2,AI and peer feedback used together,NA,Goes in-depth and can give follow-up answers,Can be limited to only analyzing text and not other elements
P573,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,4th year,NA,Majors: Cognitive Science (Computational Emphasis); Design,"English: Advanced, Spanish: Intermediate",Yes,NA,No,NA,Other,I rely on Veterans Benefits as a dependent as a form of financial aid,"African-American/Black,White/Caucasian,Other",Biracial,2,1,2,2,1,2,1,1.57142857,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",Revising/Editing often used as a quick tool for procrastination and finding outside perspective,"I like that ChatGPT, in particular, gives verbal feedback as well as learns how to respond to specific explanations that I'm looking for in my prompts. Within the feedback, I also like that it quickly lists the strengths, weaknesses, and areas of improvement for my writing and determines my level of writing and sophistication based of it's scan.",2,1,0,No,NA,NA,More confident about my writing,2,1,1,Both AI and peer feedback,NA,"Quick responses, learning mechanisms to respond accordingly, a definitive outline for feedback to visually look at, including addressing assignment requirements pasted into the prompt","Wariness in avoiding copying/plagiarising AI, drawing a line between AI explanation and original work, doesn't answer every question as the AI is still learning",spring_24,post,4th year,NA,Cognitive Science and Design (double major),UWP 12: Writing & Visual Rhetoric,"English (advanced), Spanish (intermediate)",Yes,NA,English,NA,No,NA,Yes,NA,"African-American/Black,White/Caucasian",NA,2,1,2,1,1,1,1,1.28571429,No,NA,NA,More confident about my writing,1,1,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,To check my writing for clarity and grammar as well as for expanding due to writer√ïs block.,Rewriting for clarity as I find it hard to do this for my writing last minute.,Yes,NA,,2,1,1,1,1,1,0,1,2,1,1,2,-1,1,1,0,AI and peer feedback used together,NA,"Can help find missing pieces in writing, quick feedback","Not always accurate, doesn√ït always understand prompts"
P574,monolingual,monolingual,birth,other,PLS: Just Coffee,spring_24,4th year,NA,Psychology/ HMR,English,Yes,NA,No,NA,Yes,NA,White/Caucasian,NA,2,2,2,2,0,2,2,1.71428571,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,2,2,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Strengthening Argument",NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,"Makes it less original, less personable",It doesn√ït have the context of the class and content so there√ïs no way to know if it√ïs academic correct in its context,spring_24,post,4th year,NA,Psychology,PLS: Just Coffee,English - advanced,Yes,NA,English,NA,No,NA,Yes,NA,White/Caucasian,NA,1,2,1,1,2,1,2,1.42857143,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,2,0,1,Feedback (asked AI to provide comments on your work),NA,"I use it to revise, draft emails, and spell check.",I find it helpful that I am able to get feedback or revision from another source.,Yes,NA,,2,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,AI and peer feedback used together,NA,It gives a secondary glance and edit to my paper when peer review is not available.,It isn√ït personable.
P578,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,Cognitive Science & Design,"English: advanced, Spanish: intermediate, Marathi: intermediate",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,0,-1,1,0,2,0.57142857,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,1,0,0,No,NA,NA,More confident about my writing,2,-1,1,Both AI and peer feedback,NA,NA,NA,spring_24,post,3rd year,NA,Cognitive Science & Design,UWP 12: Writing & Visual Rhetoric,"English: advanced, Marathi: intermediate",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,No,NA,NA,More confident about my writing,1,2,1,"Feedback (asked AI to provide comments on your work),Writing a portion of the paper,Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"I typically asked AI to find areas needing clarity, add information where it is missing, and check spelling/grammar.",Proofreading is helpful because it can clear up the writing.,Yes,NA,,2,1,1,0,1,1,-1,1,1,1,1,1,-2,1,1,1,AI and peer feedback used together,NA,Advantages of using AI for feedback is that it can provide a very critical lens and purely just view the writing.,Disadvantages of AI feedback is that it is not always very accurate.
P581,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,4th year,NA,Global Disease Biology,"Punjabi, Hindi, Urdu, English",Yes,NA,Yes,NA,No,NA,Asian/Pacific Islander,NA,0,1,1,1,1,1,2,1,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to translate into English,Write paper in another language and then use AI to edit in English",NA,I use it to check for errors and guide me through some prompts.,2,2,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,-1,AI feedback,NA,Sometimes the professor is not clear in their directions thus I rely upon chat to explain some things to me.,Sometimes it gives the wrong answers.,spring_24,post,4th year,NA,Global Disease Biology,PLS: Just Coffee,Punjabi-Advanced Hindi-Intermediate English-Advanced,Yes,NA,English,NA,Yes,NA,No,NA,Asian/Pacific Islander,NA,0,1,1,-1,2,2,1,0.85714286,No,NA,NA,More confident about my writing,2,2,-2,"Feedback (asked AI to provide comments on your work),Writing a portion of the paper,Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I used it to organize my paper/structure things better.,Nothing much it was kind of faulty.,Yes,NA,,2,-1,1,2,1,1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,Other,TA feedback. Chat gpt feedback and peer feedback doesn't do shit. They are not the ones grading your papers.,Made it easier,It won't understand my instructions properly.
P586,monolingual,monolingual,birth,other,PLS: Just Coffee,spring_24,5th year,NA,Political Science - Public Service,English: advanced,Yes,NA,No,NA,No,NA,White/Caucasian,NA,1,2,1,1,2,2,1,1.42857143,Yes,5 = very frequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"Because it's trained on data that makes it more than capable of doing so, and is typically better at doing the task than a human.",2,2,-2,No,NA,NA,Less confident about my writing,2,2,1,AI feedback,NA,"It is quicker, and is more capable of analyzing the entire content. Therefore, it won't mistakenly miss something like a human might.","Sometimes the data it's trained on is inaccurate and leads to hallucinating responses. However, that error is meaningless as better training is conducted.",spring_24,post,4th year,NA,Political Science - Public Service,PLS: Just Coffee,English - Advanced,Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,NA,1,1,1,1,2,2,1,1.28571429,No,NA,NA,Less confident about my writing,1,1,-2,"Feedback (asked AI to provide comments on your work),Writing a portion of the paper,Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I only used it to make a very minimalistic skeleton for how my papers should be organized. The planning stage takes time and I'd rather get it over with so I can get into the meat of the assignment.,It's more detailed which is simply more useful.,Yes,NA,,2,2,2,2,2,2,-2,-2,-1,-1,-2,1,-2,-1,1,2,AI feedback,NA,"More detailed, more thorough, no bias since it doesn't know me",There are zero disadvantages or concerns I have.
P590,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 104FY: Writing in Health Science,spring_24,3rd year,NA,COmputer Science and Economics,"English: advanced, Hindi: advanced, Punjabi: beginner",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,1,2,1,1,1,0,0,0.85714286,Yes,2 = infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to edit in English",NA,NA,1,1,1,Yes,"Checking citations,Improving organization, flow, transitions",NA,No impact on confidence,1,1,0,Peer feedback,NA,"genertating new ideas, helping start the thinking process.","It's not human like text, no verified content.",spring_24,post,3rd year,NA,NA,NA,"English: advanced, Hindi: advanced, Punjabi: beginner",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,1,2,1,1,1,1,0,1,Yes,"Checking citations,Improving use of evidence",NA,Less confident about my writing,1,2,2,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"According to the prompt, I asked AI to give me peer feedback well as review any spelling or grammar errors that I might've made in my paper.",NA,Yes,NA,,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,Peer feedback,NA,I improved my grammatical errors and spelling errors after getting AI feedback,I think AI can sound too formal and might not make the most sense if a prompt is given to GPT
P605,monolingual,monolingual,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,1st year,NA,Cognitive Science,English: advanced,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,2,1,2,2,1,2,1.57142857,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,It helps me revise my writing and give me feedback.,0,1,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,"If I don't have time to get peer review, AI is a resource that allows me to get fast and detailed feedback.",AI follows an algorithm and doesn't always give the best advice or it can become repetitive.,spring_24,post,1st year,NA,Cognitive Science,UWP 12: Writing & Visual Rhetoric,English,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,2,1,1,1,1,1.14285714,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions",NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,Revising and rewording,Helping me piece together my ideas and fixing my grammar,Yes,NA,,1,1,1,1,1,1,-1,1,1,2,2,2,-1,1,1,2,AI and peer feedback used together,NA,"When I dont have time to ask a peer to review my work, I can ask ChatGPT at any time.",ChatGPT can hallucinate information or give me faulty feedback.
P621,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,"English - advanced, Marathi and Hindi - intermediate",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,No,1 = never,I do not use AI Writing Tools,NA,NA,2,1,0,Yes,"Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Both AI and peer feedback,NA,NA,NA,spring_24,post,2nd year,NA,Design,UWP 12: Writing & Visual Rhetoric,"English - advanced, Marathi - advanced, Hindi - beginner",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,1,1,2,1,2,1.57142857,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I used it to get feedback on what improvements i can do,AI finds out the tiniest mistakes that even i couldn't find so that was very helpful.,Yes,NA,,2,1,1,0,1,1,0,1,1,0,1,1,-2,2,2,1,AI and peer feedback used together,NA,It helped me improve my formatting and checked any grammar and punctuations I had.,If you don't put it in the right prompt then the feedback won't be accurate.
P628,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,4th year,NA,Economics,"English:advanced, Spanish: intermediate",Yes,NA,No,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,2,2,1,0,2,2,2,1.57142857,No,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,only for revision purposes to see if I made any errors,1,2,-1,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,-1,AI feedback,NA,"AI is more useful than peer editing, AI isnt afraid to tell you what is wrong with your paper",Students using AI to write whole papers for them,spring_24,post,4th year,NA,Economics,PLS: Just Coffee,"English: advanced, Spanish: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",NA,2,2,2,0,2,2,1,1.57142857,No,NA,NA,More confident about my writing,2,1,-1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"for revision purposes, inputted the prompt of the essay and the ai helped me with feedback about how to follow the prompt better or where I could miss points. also used for grammar and spelling errors",the instant feedback and help with any question,Yes,NA,,2,2,2,1,1,2,-1,-1,0,-2,0,-1,-2,-1,-1,1,AI feedback,NA,"no emotional connection, gives honest answer objectively",using ai for large parts of assignments for plagiarism might get harder and harder to tell apart from real work
P637,multilingual,ESL,adolescence_adulthood,other,PLS: Just Coffee,spring_24,2nd year,NA,Management Econ,Beginner,Yes,NA,Yes,NA,No,NA,International,NA,0,0,0,0,0,0,0,0,No,1 = never,I do not use AI Writing Tools,NA,NA,0,0,0,No,NA,NA,Unsure,0,0,0,Peer feedback,NA,No,NOne,spring_24,post,3rd year,NA,managerial econ,PLS: Just Coffee,"Mandarin: advanced, English:intermediate",No,18 years old,Other,mandarin,No,NA,No,NA,International,NA,1,1,1,1,1,1,1,1,No,NA,NA,More confident about my writing,2,2,2,Feedback (asked AI to provide comments on your work),NA,I used it to comment on my paper.,It provides me with different types of ideas.,Yes,NA,,2,0,0,0,0,0,2,2,1,1,1,2,-1,2,2,0,Peer feedback,NA,Providing me clear organization and different ideas.,It is hard to know if the information is accurate.
P640,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,1st year,NA,Human development,"English(intermediate), Spanish(intermediate)",Yes,NA,Yes,NA,Yes,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",NA,1,1,2,0,1,0,1,0.85714286,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Other",NA,N/A,0,0,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,1,2,2,Both AI and peer feedback,NA,I think some benefits is being able to have a resources that allows them to help them on assignments,Some concerns is that some people consider it plagiarism,spring_24,post,1st year,NA,Science in Nutrion,UWP 1: Introduction to Academic Literacies (First-Year Writing),English,Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,1,0,2,0,1,0,1,0.71428571,Yes,Editing for grammar and word choice,NA,More confident about my writing,2,1,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I used ai to provide feedback to my writing paper,it was helpful in the sense that I was able to get feedback and see what I can fix on whatever I was working on,Yes,NA,,2,2,1,1,2,1,0,2,2,2,2,2,-2,2,1,2,AI and peer feedback used together,NA,using ai for feedback was helpful as it gave feedback on how the paper was good and where I could fix it,some disadvantages that I had using ai was at times not giving response that aline with the context
P643,multilingual,gen_1_5,childhood,other,PLS: Just Coffee,spring_24,3rd year,NA,Psychology,"English: Proficient, Vietnamese:intermediate",No,4,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,2,1,0,1,1,2,1.14285714,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,"I only use it to ask ""Check for grammatical errors"" when I paste my paragraphs because sometimes word documents overlook some errors that I make.",2,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,2,1,Both AI and peer feedback,NA,"It helps continue the flow of ideas going in my mind as I seek out my errors and am forced to reread my writing, I begin to develop new ideas to strengthen the argument of my writing.","Students will become dependend on Al. This leads to a disadvantage of the academic progression of future students because instead of working hard to seek for answers, some students will use chat gpt to cheat rather than for ""feedback""",spring_24,post,3rd year,NA,Psychology,PLS: Just Coffee,"English, Vietnamese",No,3,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,0,0,0,0,0,1,0.28571429,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",NA,Less confident about my writing,2,1,1,I did not use AI Writing Tools,NA,NA,"When I did use AI feedback, I only used it because it was an assignment for this class. I fee that it was helpful in giving me advice about how to create a structured paragraph that flows.",Yes,NA,,2,1,0,0,-1,-1,2,1,1,-1,-1,0,-2,0,2,2,AI feedback,NA,It gives me ideas to keep going.,It is too computerized and sometimes it will give bad advice
P645,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,1st year,NA,Design,"English: Advanced, Spanish: Intermediate",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,2,2,2,1,1,2,2,1.71428571,Yes,2 = infrequently,Other,Usually just for help with transitions between paragraphs.,"I just use it if I want to word a sentence differently or if I'm having trouble writing a transition between paragraphs. Even then I don't copy down exactly what the AI writes (because it usually sounds weird and robotic), but they usually give me some words or an idea that help me write something better.",2,2,0,No,NA,NA,No impact on confidence,2,2,1,Peer feedback,NA,"I'm not sure, I've never used it for feedback. I assume it can give you some new ideas to work with if you do and it's available 24/7.","It's not always accurate, that's why it's not a good idea to just have ChatGPT write your whole essay in the first place.",spring_24,post,1st year,NA,Design,UWP 12: Writing & Visual Rhetoric,"English: Advanced, Spanish: intermediate",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,2,2,2,1,2,1,2,1.71428571,No,NA,NA,More confident about my writing,2,2,2,"Editing for Grammar/Clarity (asked AI to edit for grammar),Other",Brainstorming,"Sometimes there's a small task that I need to do, but I am unsure of how to do it. When that happens I ask ChatGPT so I can get some ideas.",It just gave me some ideas I could expand on in my writing.,Yes,NA,,2,0,0,0,0,0,0,2,2,2,2,2,-2,2,2,2,Peer feedback,NA,It can provide you with a few ideas and is always available.,It's now always accurate to what you want.
P248,multilingual,gen_1_5,childhood,other,PLS: Just Coffee,spring_24,3rd year,NA,Genetics and Genomics,English: advanced. Arabic: advanced. French: intermediate,No,12,Yes,NA,Yes,NA,White/Caucasian,NA,1,1,2,2,1,1,0,1.14285714,Yes,1 = never,I do not use AI Writing Tools,NA,NA,2,0,1,Yes,"Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,0,-1,Other,feedback from someone who is more knowledgable than me,it can help highlight areas that need reinforcement or more emphasis because I find it hard to spot those areas myself,"I think AI is ""too nice"" and most of the times it will prioritize sounding positive than actually pointing out the flaws within writing",spring_24,post,3rd year,NA,Genetics and Genomics,PLS: Just Coffee,English: advanced; Arabic: advanced; French: intermediate,No,12,English,NA,Yes,NA,Yes,NA,White/Caucasian,NA,2,2,2,1,1,2,1,1.57142857,No,NA,NA,More confident about my writing,2,-1,-1,I did not use AI Writing Tools,NA,NA,N/A,Other,N/A,,2,0,0,0,0,-1,0,0,0,0,0,-1,-2,0,0,0,Peer feedback,NA,"While I don't use AI, it's ability to provide reasonable feedback in an instant is nice",it can make you a worse writer as one of the mian uses of AI is to fix mistakes that writes may have committed while writing. this takes away from the self improvement aspect of the writing process.
P261,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 104FY: Writing in Health Science,spring_24,3rd year,NA,Microbiology and Psychology,"English- advanced, Cantonese- advanced, Mandarin- intermediate",No,0.6,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,1,1,2,2,1.71428571,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",for questions I have in clarifying a concept,"I don't often use AI in writing, only when I need to brainstorm and to see what current topics there are for me to base my writing on.",2,1,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,1,1,Peer feedback,NA,AI is able to catch minor details such as grammar and organization that I or a peer may have missed,"It can have incorrect usage of words, or not be able to convey the same meanings as I intended to write about",spring_24,post,3rd year,NA,Molecular and Medical Microbiology/Psychology Double Major,UWP 104FY: Writing in Health Science,English- advanced Cantonese- advanced Mandarin- intermediate,No,1,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,1,1.85714286,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"mostly for editing grammar and spelling. I also sometimes use it to brainstorm ideas when I am stuck, but will only take the suggestions to rephrase and build off of.","Spelling is the biggest support, but also helps with initial idea building because AI can provide suggestions that I didn't think about, or reaffirm the idea I already have by stating its relevancy to the topic.",Other,depends on how clear the initial response is from AI,,2,1,-1,-1,1,1,-1,2,1,1,2,2,-2,2,-1,1,Peer feedback,NA,"AI is able to scan my writing holistically and quickly, so it can catch general themes and ideas easily","However, it is a lot more error prone, so AI is unable to capture smaller adjustments, as well as writing styles such as tone and cohesiveness"
P327,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Economics,"English: advanced, Mandarin: intermediate, Cantonese: intermediate",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,0,-1,-2,2,0.28571429,No,1 = never,I do not use AI Writing Tools,NA,NA,1,-1,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,2,2,2,Peer feedback,NA,"I think it would be helpful for technical things like grammar and spelling, and maybe even fact-checking.",I'm afraid that my ideas would no longer be mine.,spring_24,post,2nd year,NA,Economics,UWP 12: Writing & Visual Rhetoric,"English: advanced, Mandarin: intermediate, Cantonese: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,1,-1,1,1,2,1.14285714,No,NA,NA,More confident about my writing,2,2,2,I did not use AI Writing Tools,NA,NA,I did not use AI at any times,Other,n/a,,1,0,0,0,0,0,0,2,1,1,2,2,-2,1,0,0,Peer feedback,NA,"Helps fix technical things like grammar, punctuation, etc.",Ideas don't feel original or your own
